;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
EVTDESC_RoI_1113;你向后退去，逐渐接近人群。突然，你抓住了围观的一个女人，把她扔向[From.GetTitled.FirstName]。他们都纠缠着倒在地板上，你挥舞着武器, 听到了他们的尖叫。你赢得决斗。;Vous reculez, ce qui vous rapproche de la foule. Soudain, vous saisissez une femme parmi les spectateurs et la lancez sur [From.GetTitled.FirstName]. Alors qu'ils s'affalent tous les deux au sol, vous frappez plusieurs fois avec votre arme et vous entendez deux hurlements. Vous avez gagn?le duel.;Ihr weicht zur點k und kommt der Menge n鋒er. Pl鰐zlich greift Ihr nach einer Frau aus den Zuschauern und sto遲 sie nach [From.GetTitled.FirstName]. Als die beiden verheddert zu Boden gehen, sto遲 Ihr mehrfach mit Eurer Waffe zu. Beide schreien vor Schmerzen. Ihr habt das Duell gewonnen.;;Reculas, acerc醤dote a la muchedumbre. De repente, agarras a una mujer de entre el p鷅lico y la lanzas hacia [From.GetTitled.FirstName]. Mientras caen enredados al suelo, golpeas varias veces con tu arma, ambos gritan. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1114;"向后退向桌子. 致命的,在他过来之前，你抓了一把水果扔向他.他被水果滑倒!你从桌子上拿到了一支巨大的羊腿 并且无情的击向你他. 最终他躺着没有任何声息，你赢得了决斗！";Vous reculez vers une table sur laquelle des plats se trouvent dispos閟.  Dans un geste d閟esp閞? vous vous emparez d'une coupe contenant des fruits et la jetez ?ses pieds. Il glisse sur les fruits, et le voil??terre? Vous vous saisissez d'un imposant gigot de mouton qui tra頽ait sur la table et commencez ?le marteler avec la pauvre b阾e. Au bout d'un moment, votre adversaire cesse de se d閎attre. Vous avez gagn?le duel.;Euer Gegner treibt Euch r點kw鋜ts gegen einen Speisetisch. Verzweifelt greift Ihr einige Fr點hte und werft sie ihm zwischen die Fe. Er rutscht aus und f鋖lt. Ihr schnappt Euch ein gro遝s Hammelbein und schlagt auf Euren hilflosen Gegner ein. Schlie遧ich liegt er still. Ihr habt das Duell gewonnen.;;Retrocede hacia la mesa de servicio. Desesperado, coges un pu馻do de fruta y la tiras a sus pies. esbala con la fruta, cayendo al suelo! Agarra una gran pierna de carnero de la misma mesa y comienzas a golpear a tu derribado oponente implacablemente, hasta que abandona cojeando. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1115;"你感到无法在[From.GetTitled.FirstName]上占到上风,你感觉需要一个优势. 你瞥了一眼观众, 突然疯狂地盯着 [From.GetTitled.FirstName]的背后, 大喊: ";Vous ne semblez pas en mesure de prendre l'ascendant sur [From.GetTitled.FirstName] et vous cherchez comment vous d閜artager. Vous jetez un 渋l ?la foule de spectateurs puis, 閏arquillant les yeux, vous regardez derri鑢e [From.GetTitled.FirstName] en hurlant? 獳idez-la? Elle s'閠ouffe??Votre adversaire se tourne pour regarder et vous le frappez dans le dos. Il s'abat au sol, en sang. Vous avez gagn?le duel.;"Ihr k鰊nt im Kampf nicht die Oberhand gewinnen und braucht einen Vorteil 黚er [From.GetTitled.FirstName]. Ihr starrt in die Menge hinter Eurem Gegner und ruft laut: ""Helft ihr, sie erstickt!"". Als er sich umdreht, holt Ihr aus und stecht in seinen R點ken. Blutend geht er zu Boden. Ihr habt das Duell gewonnen. ";;"Pareces incapaz de imponerte a [From.GetTitled.FirstName], sientes que necesitas alg鷑 tipo de ventaja. Echas una mirada a los espectadores, de repente clavas la mirada tras [From.GetTitled.FirstName], gritando: ""yudadla, se est?ahogando!"" Mientras se gira a mirar, te abalanzas y le golpeas por la espalda. Cae, sangrando por su herida. Has ganado el duelo.";;;;;;;;;;;x
EVTDESC_RoI_1116;"[From.GetTitled.FirstName] 压制着你,雨点般打击他. 你开始哀求,你被绊倒在地板上,他击中了你的头部。你立即闭上眼睛试图保存自己的意识。[From.GetTitled.FirstName]感觉够了，转过去接受观众的祝贺。你迅速起身并从背后捅了他。你赢得决斗  ";[From.GetTitled.FirstName] maintient la pression sur vous, les coups pleuvent. Tentant de reculer, vous tr閎uchez et tombez au sol. Votre t阾e frappe quelque chose. Imm閐iatement, vous fermez les yeux, tentant de sauver la mise en feignant l'inconscience. [From.GetTitled.FirstName] tombe dans votre pi鑗e. Il se retourne pour recevoir les applaudissements de la foule. Vous vous redressez rapidement et plantez votre arme dans son dos. Vous avez gagn?le duel.;[From.GetTitled.FirstName] geht Euch hart an, Schlag um Schlag f鋒rt auf euch herab. Als Ihr Euch zur點kzieht, stolpert Ihr 黚er Eure Fe und fallt zu Boden. Sofort schlie遲 Ihr die Augen und versucht Euch zu retten, indem Ihr bewusstlos spielt. [From.GetTitled.FirstName] f鋖lt darauf herein und dreht sich weg, um den Beifall der Menge anzunehmen. Leise steht Ihr auf und stecht ihn von hinten nieder. Ihr habt das Duell gewonnen.;;[From.GetTitled.FirstName] te gana la iniciativa con una continua lluvia de golpes. Intentando retroceder, tropiezas y caes al suelo, golpe醤dote la cabeza. Inmediatamente, cierras los ojos, intentando salvarte fingiendo estar inconsciente. [From.GetTitled.FirstName] pica, gir醤dose a recibir los aplausos de los espectadores. Te levantas sigilosamente y lo apu馻las por la espalda. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1117;随着战圈围拢，战斗将要开始。你突然有了一个主意， 你突袭到在门边上守卫，夺取了一张弓。一秒钟后，你已弯弓搭箭。 你让 [From.GetTitled.FirstName]感到惊讶. 弓箭击中了他，他应声倒地. 你赢得了决斗。.;Les deux combattants se tournent autour et tentent de trouver une faille. Soudain, une id閑. Alors que vous vous trouvez pr鑣 des gardes en faction devant la porte, vous vous saisissez de l'arc que porte l'un d'eux. En une seconde, vous voil?avec une fl鑓he, pr阾 ?tirer. Votre tir vole vers [From.GetTitled.FirstName], tout surpris. La fl鑓he touche sa cible qui tombe au sol. Vous avez gagn?le duel.;Beide K鋗pfer umkreisen sich und suchen nach Schwachstellen. Pl鰐zlich habt Ihr eine Idee. Ihr dr鋘gt zu den Wachen am Tor und schnappt Euch einen ihrer B鰃en. Eine Sekunde sp鋞er habt Ihr einen Pfeil aufgelegt und zielt auf den verbl黤ften [From.GetTitled.FirstName]. Der Pfeil trifft, er f鋖lt nieder. Ihr habt das Duell gewonnen.;;Ambos contendientes gir醝s en c韗culos, tratando de encontrar un hueco. De repente tienes una idea. Te vas esquivando hacia los guardas de la puerta, al llegar le arrebatas el arco a uno de ellos. Un segundo mas tarde le has arrebatado una flecha y la cargas. Dejas volar la flecha hacia el sorprendido [From.GetTitled.FirstName]. La flecha alcanza su objetivo y cae. Has ganado el duelo.;;;;;;;;;x
EVTDESC_RoI_1140;"在宴会中,你享受着舞蹈. 一个女性舞者引起了你的注意。她优雅的 舞步深深吸引着你. 你好似见到了传说中的神秘仙女, 变化多姿的舞者从天国降临。.";Pendant le festin se d閞oule un spectacle de danse. Une des danseuses en particulier attire votre attention. Elle se meut avec une gr鈉e quasiment divine et vous vous sentez 閠rangement attir?par elle. Vous repensez aux belles et myst閞ieuses Apsara de la l間ende, ces danseuses polymorphes venues du ciel.;W鋒rend des Festes werdet Ihr von T鋘zern unterhalten. Eine der T鋘zerinnen fesselt Euch besonders: Sie bewegt sich mit geradezu himmlicher Anmut und Grazie und Ihr f黨lt Euch seltsam zu ihr hingezogen. Ihr m黶st an die Apsara der Legenden denken, gestaltwandelnde T鋘zerinnen aus den Himmeln.;;Durante el banquete, te entretiene un grupo de danza. Una de las bailarinas llama especialmente tu atenci髇. Se mueve con una gracia y encanto casi divinos, y te sientes extra馻mente atra韉o por ella. Te hace pensar en una de las Apsar?de las leyendas, bailarinas que cambian de forma, venidas de los cielos.;;;;;;;;;x
EVTOPTA_RoI_1140;舞会结束后叫她过来;L'appeler apr鑣 la danse.;Ruft sie nach dem Tanze zu Euch.;;Ll醡ala tras el baile.;;;;;;;;;x
EVTOPTB_RoI_1140;离开就是了;La laisser en paix.;Lasst es bleiben.;;D閖alo estar.;;;;;;;;;x
EVTDESC_RoI_1141;你叫舞者在舞蹈结束后过来，她过来了，并坐在你的身边。你们通过你们的身体，愉悦和美感对话。她坐在非常靠近你的地方，用柔软而诱人的声音说话。你开始感到奇怪的温暖和头晕。这感觉很好。;La danse finie, vous faites signe ?la danseuse de s'approcher. Elle acquiesce et s'assoit ?c魌?de vous. Vous parlez de corps, de plaisirs et de beaut? Elle se tient tr鑣 pr鑣 de vous et vous parle d'une voix douce et s閐uisante. Vous sentez une vague de chaleur en vous et votre esprit devient l間er. Je me sens bien.;Nach dem Ende des Tanzes ruft ihr die T鋘zerin zu Euch. Sie kommt und setzt sich. Ihr sprecht 黚er den K鰎per, Vergn黦en und Sch鰊heit. Sie spricht mit einer weichen, verf黨rerischen Stimme. Ihr f黨lt Euch seltsam warm und leicht. Es f黨lt sich gut an.;;Llamas a la bailarina una vez el baile ha finalizado, ella viene y se sienta junto a ti. Hablas del cuerpo, el placer y la belleza. Ella se sienta muy cerca de ti, hablando con una voz suave y seductora. Te sientes extra馻mente tibio y mareado. Sienta bien.;;;;;;;;;x
EVTOPTA_RoI_1141;让我们去私密一点的地方···;Trouvons un endroit plus tranquille...;Wir sollten uns zur點kziehen?;Vamos a un lugar privado...;;;;;;;;;x
EVTOPTB_RoI_1141;令人入迷，但你应当离开，亲爱的。;Votre compagnie m'enchante, ma ch鑢e, mais vous devriez partir.;Bezaubernd, aber Ihr solltet gehen, meine Liebe.;;Un placer, pero deber韆s marcharte, mi amor.;;;;;;;;;x
EVTDESC_RoI_1142;你醒来时, 心中只有春宵一刻的愉快回忆. 你环顾四周, 舞者已经消失地无影无踪. 这真的非同寻常, 你想起那些神职和故事家告诉过你的那些古老传说 - 她真的是人类吗, 还是你遇到了传说中的飞天女神?;?votre r関eil, votre esprit est empli du souvenir d'une nuit de plaisirs magnifiques. Vous constatez que la danseuse est partie sans laisser de traces. C'閠ait vraiment un moment extraordinaire. Vous repensez aux vieilles histoires narr閑s par les pr阾res et les conteurs... 蓆ait-elle humaine, ou 閠ait-ce une de ces belles Apsara dont parle la l間ende?;Als Ihr erwacht, ist Euer Geist gef黮lt mit Erinnerungen an die wundervolle Nacht der Lust. Ihr schaut Euch um, doch die T鋘zerin ist spurlos verschwunden. Es war wirklich etwas Besonderes und Ihr gr黚elt 黚er alte Geschichten, wie sie von Priestern und M鋜chenerz鋒lern berichtet werden. War sie wirklich eine menschliche Frau oder habt Ihr eine der wunderbaren Apsara der Legende getroffen?;;Al despertar, tu mente est?llena de recuerdos de una maravillosa noche de placer. Miras a tu alrededor, pero la bailarina no ha dejado rastro. Realmente fue algo extraordinario, y tu mente vuela hacia los antiguos relatos de sacerdotes y cuentacuentos - 縠ra realmente humana, o puede que hayas encontrado una de las legendarias Apsar醩?;;;;;;;;;x
EVTOPTA_RoI_1142;我已经被神所感动。;C'閠ait une rencontre avec le divin.;Ich wurde vom G鰐tlichen ber黨rt.;;He sido tocado por la divinidad.;;;;;;;;;x
EVTOPTB_RoI_1142;我永远也不会知道.;Je n'aurai jamais de vraie r閜onse.;Ich werde es niemals wissen.;;Jam醩 lo sabr?;;;;;;;;;x
EVTDESC_RoI_1143;在过节的一个时间，一个男歌手进行表演。他的声音是迷人感性，他在房间里跳舞，通过身体接触使你的皮肤发痒。你完全被他迷住的魅力 - 他让你想起传说中的神秘而美丽的干达婆，为众神做音乐的歌手。;?un moment pendant le festin, un chanteur offre un spectacle. Les notes de son chant captivant et sensuel dansent dans la salle et effleurent votre peau. Vous 阾es captiv閑 par son charisme. Il vous rappelle un de ces magnifiques et myst閞ieux Gandharva de la l間ende, ces esprits venus des cieux qui chantent pour les dieux.;W鋒rend des Festes tritt ein m鋘nlicher S鋘ger auf. Seine Stimme ist einnehmend und sinnlich, tanzt geradezu durch den Raum und l鋝st Eure Haut prickeln, fast wie unter echten Ber黨rungen. Ihr seid vollst鋘dig von seiner Ausstrahlung eingenommen - er erinnert Euch an die mysteri鰏en und wundersch鰊en Gandharvas der Legend, S鋘gergeister aus dem Himmel, Musiker der G鰐ter.;;En cierto momento durante el banquete, act鷄 un cantante. Su voz es cautivadora y sensual, las notas bailan por la sala y cosquillean tu piel con un toque casi f韘ico. Est醩 completamente cautivada por su carisma - te recuerda a los misteriosos y hermosos Gandharv醩 de la leyenda, esp韗itus cantarines de los cielos que hacen m鷖ica para los dioses.;;;;;;;;;x
EVTOPTA_RoI_1143;在他表演之后叫他过来。;L'appeler apr鑣 la repr閟entation.;Ruft ihn nach dem Auftritt zu Euch.;;Ll醡alo tras la actuaci髇.;;;;;;;;;x
EVTOPTB_RoI_1143;你就别管了。;Le laisser en paix.;Lasst es bleiben.;;D閖alo estar.;;;;;;;;;x
EVTDESC_RoI_1144;你叫歌手在演出结束后过来，他过来了，并坐在你身边。你们谈音乐，身体，愉悦和美感。他坐的离你非常近，用柔软而诱人的声音说话。你开始感到奇怪的温暖和头晕。这感觉很好。;La repr閟entation finie, vous faites signe au chanteur de s'approcher. Il acquiesce et s'assoit ?c魌?de vous. Vous parlez de musique, de plaisirs et de beaut? Il se tient tr鑣 pr鑣 de vous et vous parle d'une voix douce et s閐uisante. Vous sentez une vague de chaleur en vous et votre esprit devient l間er. Je me sens bien.;Nach dem Auftritt ruft Ihr den S鋘ger zu Euch. Er kommt und setzt sich. Ihr sprecht von Musik, vom K鰎per, Sch鰊heit und Vergn黦en. Er sitzt ganz nahe bei Euch und spricht mit weicher, verf黨rerischer Stimme. Ihr f黨lt Euch seltsam leicht und warm. Es f黨lt sich gut an. ;;Llamas al cantante una vez su actuaci髇 ha finalizado, 閘 viene y se sienta junto a ti. Hablas del cuerpo, el placer y la belleza. 蒷 se sienta muy cerca de ti, hablando con una voz suave y seductora. Te sientes extra馻mente tibia y mareada. Sienta bien.;;;;;;;;;x
EVTDESC_RoI_1145;当你醒来，你的心充满了关于美妙夜晚的愉悦回忆。你环顾四周，但歌手消失得无影无踪。一只小鸟在窗外飞逝而过，美丽的歌声。你的心飘荡由祭司和讲故事的人讲述的老故事 - 是他真的人类，或者会不会是你见到了传说中的美丽干闼婆之一？;?votre r関eil, votre esprit est empli du souvenir d'une nuit de plaisirs magnifiques. Vous constatez que le chanteur est parti sans laisser de traces. Un petit oiseau s'envole par la fen阾re en poussant un chant m閘odieux. Vous repensez aux vieilles histoires narr閑s par les pr阾res et les conteurs... 蓆ait-il humain, ou 閠ait-ce un de ces beaux Gandharva dont parle la l間ende?;Als Ihr erwacht, ist Euer Geist gef黮lt mit Erinnerungen an die wundervolle Nacht der Lust. Ihr schaut Euch um, doch der T鋘zer ist spurlos verschwunden. Ein kleiner Vogel zwitschert wundervoll vor dem Fenster. Ihr gr黚elt 黚er Geschichten von Priestern und M鋜chenerz鋒lern nach - war er wirklich ein menschlicher Mann oder vieleicht einer der wundervollen Gandharva der Legende?;;Al despertar, tu mente est?llena de recuerdos de una maravillosa noche de placer. Miras a tu alrededor, pero el cantante no ha dejado rastro. Un peque駉 p醞aro vuela fuera en la ventana, cantando. Tu mente vuela hacia los antiguos relatos de sacerdotes y cuentacuentos - 縠ra realmente humano, o puede que hayas encontrado uno de los legendarios Gandharv醩?;;;;;;;;;x
EVTTITLE_RoI_1051;魔术师;Le mage;Der Magier;;El Mago;;;;;;;;;x
EVTDESC_RoI_1151;盛宴的宾客们窃窃私语起来，一个法师进来招待你。伴随着舞蹈，他解释说，即将到来的表演将震惊即使是最怀疑的观众。接着他把一个小男孩变成一个篮子放在地上，然后他用剑将筐砍成小块。当他清理了了篮下的碎片，没有孩子，没有血，什么都没有···;Alors qu'un mage entre pour vous divertir, un murmure se r閜and dans la foule. Avec grande emphase, il explique que le spectacle qui va suivre sera ?m阭e d'閠onner m阭e le plus cynique des spectateurs. Il place ensuite un petit gar鏾n dans un panier puis, de son 閜閑, taillade le panier et le met en pi鑓es. Lorsqu'il soul鑦e ce qui reste du panier, le petit gar鏾n a disparu, pas une goutte de sang, rien du tout...;Gemurmel erhebt sich, als ein Magier hervortritt um Euch zu unterhalten. Mit gro遝n Gesten erkl鋜t er, dass sein Auftritt selbst den zynischsten Beobachter verbl黤fen wird. Daraufhin steckt er einen kleinen Jungen in einen gro遝n, auf dem Boden stehenden Korb - und beginnt, den Korb mit einem Schwert in St點ke zu hauen. Als er die Fetzen des Korbs schlie遧ich entfernt, ist da kein Zeichen des Jungen, kein Blut, nichts...;;Hay un murmullo entre los invitados al banquete, mientras un mago entra a entretenerte. Con grandes florituras, explica que la pr髕ima actuaci髇 dejar?estupefacto hasta al m醩 c韓ico. Comienza a introducir a un peque駉 cr韔 en una cesta en el suelo, entonces corta el cesto en trocitos con una espada. Retira los jirones de la cesta y no hay rastro del cr韔, ni sangre, nada...;;;;;;;;;x
EVTOPTA_RoI_1151;惊人！;蓀atant?;Wunderbar!;;ncre韇le!;;;;;;;;;x
EVTOPTB_RoI_1151;守卫 - 逮捕那个男人！;Gardes? Arr阾ez cet homme?;Wachen - nehmt ihn fest!;;uardias, arrestad a ese hombre!;;;;;;;;;x
EVTDESC_RoI_1152;盛宴的宾客们窃窃私语起来，一个法师进来招待你。伴随着舞蹈，他在在你面前的桌子上放置三个杯子。他把一个球放到其中一个杯子内，然后告诉你要密切观察，并告诉你球在哪个杯子里。随后，他以迅雷不及掩耳之势四处移动的杯子，同时和你胡扯告诉你要注意。然后，他会要求你选择一个杯子。;Alors qu'un mage entre pour vous divertir, un murmure se r閜and dans la foule. Avec grande emphase, il place trois coupes devant vous sur la table. Il place ensuite une balle sous l'une des coupes et vous demande de pr阾er la plus grande attention? vous allez devoir deviner o?se trouve la balle. Il d閜lace ensuite les coupes ?la vitesse tout en d閎lat閞ant et en vous demandant de vous concentrer. Il vous demande alors de choisir une coupe.;Gemurmel erhebt sich, als ein Magier hervortritt, um Euch zu unterhalten. Mit gro遝n Gesten stellt er drei Becher auf den Tisch vor Euch. Er platziert eine kleine Kugel unter einem davon und fordert Euch auf, gut zu beobachten und ihm zu verraten, wo die Kugel nach dem Bewegen der Becher ist. Dann verschiebt er die Becher blitzartig hin und her, w鋒rend er weiter plappert und aufzupassen ermahnt. Schlie遧ich sollt Ihr einen Becher w鋒len.;;Hay un murmullo entre los invitados al banquete, mientras un mago entra a entretenerte. Con grandes florituras, coloca tres copas en la mesa. Coloca una bola bajo una copa, y te dice que observes detenidamente y digas d髇de est?la bola cuando termine de mover las copas. Entonces mueve las copas a la velocidad del rayo, todo mientras parlotea y te dice que prestes atenci髇. Entonces te pide que elijas una copa.;;;;;;;;;x
